ticker	asset_name	asset_class
JTSXX	JPMORGAN 100% U S TREASURY SECURITIES MONEY MKT FD - INST SH CL	Fixed Income & Cash
PBHAX	PGIM HIGH YIELD FUND INC CLASS A	Fixed Income & Cash
TSLX	SIXTH STREET SPECIALTY LENDING INC COMMON STOCK $0.01 PAR VALUE	Equity
SPY	SPDR S&P 500 ETF TRUST	Equity
QQQ	INVESCO QQQ TR UNIT SER 1	Equity
FDN	FIRST TRUST ETF DOW JONES INTERNET INDEX FUND	Equity
AMZN	AMAZON.COM INC	Equity
GOOG	ALPHABET INC CLASS C CAPITAL STOCK	Equity
ARCC	ARES CAPITAL CORPORATION	Equity
BABA	ALIBABA GROUP HOLDING LTD SPONSORED ADR	Equity
UNITEDSTATESDOL	UNITED STATES DOLLAR CURRENCY CONTRACT	Fixed Income & Cash
BFCXX	FEDFUND PREMIER CHOICE SHARES	Fixed Income & Cash
ACCOUNTCONTROLA	ACCOUNT CONTROL AGREEMENT	Other
JPMORGANCHASEBA	JPMORGAN CHASE BANK LOAN	Equity
CLIENTHASJPMSOM	CLIENT HAS JPMS OMNI ACCOUNT	Other
BITXX	BLACKROCK LIQUIDITY FUNDS TRSRY TRST FD PRTFLO ADMIN CL	Fixed Income & Cash
VOO	VANGUARD S&P 500 ETF	Equity
VGT	VANGUARD SECTOR INDEX FDS VANGUARD INFORMATION TECHNOLOGY ETF	Equity
JPMORGANDEPOSIT	JPMORGAN DEPOSIT ACCT D BROKERAGE RET JPMC BK NA	Fixed Income & Cash
GOIXX	FEDERATED HERMES GOVT OBL CL ISS	Fixed Income & Cash
SIXTHSTREETLEND	SIXTH STREET LENDING PARTNERS - ONSHORE - CLASS A	Alternative Assets
USDOLLAR	US DOLLAR	Fixed Income & Cash
BAERW	WTS BRIDGER AEROSPACE GROUP HLDGS INC	Equity
JWSWF	WTS JAWS MUSTANG ACQUISITION CORP WARRANT	Equity
ALURWS	WTS ALLURION TECHNOLOGIES INC WTS TO PURCHASE 0.056818 SHRS OF COM STCK AT PRICE $202.50	Equity
WTSFATHOMDIGITA	WTS FATHOM DIGITAL MANUFACTURING CORPORATION ECH WT EXRBL FR CL A SHR FR $11.50	Equity
FRSXX	FIMM TREASURY ONLY PORTFOLIO INSTITUTIONAL CLASS	Fixed Income & Cash
PYMAX	PIMCO HIGH YIELD MUNICIPAL BOND CLASS A	Fixed Income & Cash
JPMPRJ	JPMORGAN CHASE & CO DEP SHS REPSTG 1/400TH INT NON CUM PFD SER GG	Equity
ET	ENERGY TRANSFER LP COMMON UNITS REPRESENTING LIMITED PARTNER INTERESTS	Equity
MPLX	MPLX LP COM UNIT REPSTG LTD PARTNER INT	Equity
WES	WESTERN MIDSTREAM PARTNERS LP COMMON UNITS REPRESENTING LIMITED PARTNER INTERESTS	Equity
TRGP	TARGA RESOURCES CORP	Equity
EPD	ENTERPRISE PRODUCTS PARTNERS LP	Equity
ENLINKMIDSTREAM	ENLINK MIDSTREAM LLC COM UNIT REPSTG LTD LIABILITY CO INTS	Equity
PAGP	PLAINS GP HOLDINGS L P CLASS A UNITS REPRESENTING LIMITED PARTNER INTERESTS	Equity
OKE	ONEOK INC	Equity
PAA	PLAINS ALL AMERICAN PIPELINE L P COMMON UNITS REPRESENTING LIMITED PARTNER INTERESTS	Equity
LNG	CHENIERE ENERGY INC COMMON STOCK	Equity
WMB	WILLIAMS COMPANIES INC	Equity
GEL	GENESIS ENERGY LP UNITS LTD PARTNERSHIP INT	Equity
KNTK	KINETIK HOLDINGS INC CLASS A COMMON STOCK	Equity
AM	ANTERO MIDSTREAM CORPORATION COMMON STOCK	Equity
DTM	DT MIDSTREAM INC COMMON STOCK	Equity
KMI	KINDER MORGAN INC	Equity
PSX	PHILLIPS 66 COM	Equity
ENB	ENBRIDGE INC	Equity
JUNIUSPARTNERPR	JUNIUS PARTNER PROGRAM ONSHORE	Alternative Assets
COATUEGROWTHVPR	COATUE GROWTH V PRIVATE INVESTORS, L.L.C. - DIK - CLASS A	Alternative Assets
JUNIUSBELAIRCIV	JUNIUS BEL AIR CIV US ONSHORE, LP	Alternative Assets
TIGERGLOBALPIPX	TIGER GLOBAL PIP XV PRIVATE INVESTORS, LLC  - DIK - CLASS A	Alternative Assets
CSSAFPRIVATEINV	CSSAF PRIVATE INVESTORS, LLC (CARLYLE SUB-SAHARAN AFRICA FUND) CLASS A	Alternative Assets
COATUEGROWTHFUN	COATUE GROWTH FUND V-B PRIVATE INVESTORS, LLC DIK - CLASS A	Alternative Assets
GSOPRIVATEINVES	GSO PRIVATE INVESTORS II, LLC CLASS A	Alternative Assets