ticker	date	price
JTSXX	2025-01-31	1
PBHAX	2025-01-31	4.82
TSLX	2025-01-31	22.38
SPY	2025-01-31	601.82
QQQ	2025-01-31	522.29
FDN	2025-01-31	262.88
AMZN	2025-01-31	237.68
GOOG	2025-01-31	205.6
ARCC	2025-01-31	23.67
BABA	2025-01-31	98.84
UNITEDSTATESDOL	2025-01-31	0
BFCXX	2025-01-31	1
ACCOUNTCONTROLA	2025-01-31	0
JPMORGANCHASEBA	2025-01-31	0
CLIENTHASJPMSOM	2025-01-31	0
SPY	2025-01-31	601.82
TSLX	2025-01-31	22.38
QQQ	2025-01-31	522.29
PBHAX	2025-01-31	4.82
BITXX	2025-01-31	1
UNITEDSTATESDOL	2025-01-31	0
PBHAX	2025-01-31	4.82
FDN	2025-01-31	262.88
TSLX	2025-01-31	22.38
VOO	2025-01-31	553.33
VGT	2025-01-31	616.61
JPMORGANDEPOSIT	2025-01-31	1
GOIXX	2025-01-31	1
SIXTHSTREETLEND	2025-01-31	0.47
USDOLLAR	2025-01-31	1
VGT	2025-01-31	616.61
VOO	2025-01-31	553.33
JPMORGANDEPOSIT	2025-01-31	1
BAERW	2025-01-31	0.1333
JWSWF	2025-01-31	0.04
ALURWS	2025-01-31	0.044
WTSFATHOMDIGITA	2025-01-31	0
FRSXX	2025-01-31	1
PYMAX	2025-01-31	8.49
SPY	2025-01-31	601.82
QQQ	2025-01-31	522.29
VOO	2025-01-31	553.33
VGT	2025-01-31	616.61
ARCC	2025-01-31	23.67
PBHAX	2025-01-31	4.82
FDN	2025-01-31	262.88
JPMPRJ	2025-01-31	20.88
GOOG	2025-01-31	205.6
UNITEDSTATESDOL	2025-01-31	0
JTSXX	2025-01-31	1
ACCOUNTCONTROLA	2025-01-31	0
JPMORGANCHASEBA	2025-01-31	0
ET	2025-01-31	20.48
MPLX	2025-01-31	52.01
WES	2025-01-31	41.15
TRGP	2025-01-31	196.8
EPD	2025-01-31	32.65
ENLINKMIDSTREAM	2025-01-31	14.12
PAGP	2025-01-31	21.15
OKE	2025-01-31	97.17
PAA	2025-01-31	19.8
LNG	2025-01-31	223.65
WMB	2025-01-31	55.43
GEL	2025-01-31	10.52
JPMORGANDEPOSIT	2025-01-31	1
KNTK	2025-01-31	64.43
AM	2025-01-31	16.04
DTM	2025-01-31	101.08
KMI	2025-01-31	27.48
PSX	2025-01-31	117.87
ENB	2025-01-31	43.24
JUNIUSPARTNERPR	2025-01-31	0.34
COATUEGROWTHVPR	2025-01-31	0.66
SIXTHSTREETLEND	2025-01-31	0.47
JUNIUSBELAIRCIV	2025-01-31	0.73
TIGERGLOBALPIPX	2025-01-31	0.67
CSSAFPRIVATEINV	2025-01-31	0.53
COATUEGROWTHFUN	2025-01-31	0.45
GSOPRIVATEINVES	2025-01-31	0.06
USDOLLAR	2025-01-31	1
VGT	2025-01-31	616.61
FDN	2025-01-31	262.88
VOO	2025-01-31	553.33
JPMORGANDEPOSIT	2025-01-31	1